,datetime,power_kw
0,2023-07-11 00:00:00,31.14
1,2023-07-11 00:15:00,31.0
2,2023-07-11 00:30:00,31.61
3,2023-07-11 00:45:00,29.49
4,2023-07-11 01:00:00,27.73
5,2023-07-11 01:15:00,28.81
6,2023-07-11 01:30:00,31.77
7,2023-07-11 01:45:00,28.91
8,2023-07-11 02:00:00,29.14
9,2023-07-11 02:15:00,28.43
10,2023-07-11 02:30:00,31.07
11,2023-07-11 02:45:00,31.29
12,2023-07-11 03:00:00,29.0
13,2023-07-11 03:15:00,28.26
14,2023-07-11 03:30:00,30.33
15,2023-07-11 03:45:00,34.16
16,2023-07-11 04:00:00,34.05
17,2023-07-11 04:15:00,30.04
18,2023-07-11 04:30:00,27.62
19,2023-07-11 04:45:00,29.54
20,2023-07-11 05:00:00,29.63
21,2023-07-11 05:15:00,29.22
22,2023-07-11 05:30:00,32.0
23,2023-07-11 05:45:00,28.2
24,2023-07-11 06:00:00,30.62
25,2023-07-11 06:15:00,29.89
26,2023-07-11 06:30:00,32.36
27,2023-07-11 06:45:00,32.95
28,2023-07-11 07:00:00,34.28
29,2023-07-11 07:15:00,31.21
30,2023-07-11 07:30:00,32.25
31,2023-07-11 07:45:00,37.49
32,2023-07-11 08:00:00,36.03
33,2023-07-11 08:15:00,37.19
34,2023-07-11 08:30:00,37.17
35,2023-07-11 08:45:00,33.29
36,2023-07-11 09:00:00,40.48
37,2023-07-11 09:15:00,42.92
38,2023-07-11 09:30:00,47.95
39,2023-07-11 09:45:00,43.9
40,2023-07-11 10:00:00,46.67
41,2023-07-11 10:15:00,62.3
42,2023-07-11 10:30:00,70.89
43,2023-07-11 10:45:00,69.38
44,2023-07-11 11:00:00,63.79
45,2023-07-11 11:15:00,52.74
46,2023-07-11 11:30:00,48.76
47,2023-07-11 11:45:00,52.64
48,2023-07-11 12:00:00,54.54
49,2023-07-11 12:15:00,56.06
50,2023-07-11 12:30:00,52.0
51,2023-07-11 12:45:00,50.78
52,2023-07-11 13:00:00,47.76
53,2023-07-11 13:15:00,46.09
54,2023-07-11 13:30:00,46.82
55,2023-07-11 13:45:00,45.37
56,2023-07-11 14:00:00,44.69
57,2023-07-11 14:15:00,47.15
58,2023-07-11 14:30:00,44.32
59,2023-07-11 14:45:00,42.5
60,2023-07-11 15:00:00,39.79
61,2023-07-11 15:15:00,42.27
62,2023-07-11 15:30:00,41.32
63,2023-07-11 15:45:00,42.24
64,2023-07-11 16:00:00,39.5
65,2023-07-11 16:15:00,39.69
66,2023-07-11 16:30:00,48.14
67,2023-07-11 16:45:00,38.38
68,2023-07-11 17:00:00,41.31
69,2023-07-11 17:15:00,37.83
70,2023-07-11 17:30:00,39.97
71,2023-07-11 17:45:00,40.02
72,2023-07-11 18:00:00,36.26
73,2023-07-11 18:15:00,42.02
74,2023-07-11 18:30:00,39.29
75,2023-07-11 18:45:00,36.89
76,2023-07-11 19:00:00,38.68
77,2023-07-11 19:15:00,35.92
78,2023-07-11 19:30:00,37.75
79,2023-07-11 19:45:00,33.6
80,2023-07-11 20:00:00,31.63
81,2023-07-11 20:15:00,30.64
82,2023-07-11 20:30:00,31.18
83,2023-07-11 20:45:00,34.57
84,2023-07-11 21:00:00,33.93
85,2023-07-11 21:15:00,36.05
86,2023-07-11 21:30:00,35.01
87,2023-07-11 21:45:00,29.85
88,2023-07-11 22:00:00,30.0
89,2023-07-11 22:15:00,35.02
90,2023-07-11 22:30:00,34.69
91,2023-07-11 22:45:00,35.56
92,2023-07-11 23:00:00,29.87
93,2023-07-11 23:15:00,33.81
94,2023-07-11 23:30:00,33.81
95,2023-07-11 23:45:00,33.81
96,2023-07-12 00:00:00,33.81
